sample_id,hp_folder,image_number,left_image,right_image,head_rot_x,head_rot_y,head_rot_z,head_pos_x,head_pos_y,head_pos_z,look_at_x,look_at_y,look_at_z,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,left_iris_x,left_iris_y,right_iris_x,right_iris_y,left_crop_xmin,left_crop_ymin,left_crop_xmax,left_crop_ymax,right_crop_xmin,right_crop_ymin,right_crop_xmax,right_crop_ymax,gaze_world_x,gaze_world_y,gaze_world_z,gaze_world_yaw,gaze_world_pitch,target_horizontal,target_vertical,target_direction,head_yaw,head_pitch,head_roll
001_01,HP_001,1,001_01.png,001_01.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,-11.0,0.0,1485.659,605.898438,888.7343,603.7831,1477.988,610.2001,885.8164,608.959839,1340,554,1569,693,727,555,983,699,0.4642488808971842,-0.167128197251409,-0.8697937354736502,28.09088941500851,-9.620888150947449,RIGHT,DOWN,DOWN_RIGHT,16.9408,-7.5351,0.79365
001_02,HP_001,2,001_02.png,001_02.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,0.0,-11.0,0.0,1454.20715,601.6836,855.333252,599.3329,1451.62073,606.6892,857.8529,605.2521,1339,553,1570,693,727,553,982,698,0.259302455789052,-0.1822410514035511,-0.9484463272136674,15.29083284344967,-10.500322003545419,CENTER,DOWN,DOWN_CENTER,16.9408,-7.5351,0.79365
001_03,HP_001,3,001_03.png,001_03.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,-11.0,-11.0,0.0,1417.69641,600.537842,815.7645,597.7992,1421.05493,605.7378,824.7431,603.973,1339,553,1570,693,727,550,982,698,0.01281275820448438,-0.18867965936384198,-0.9819551004855253,0.7475650468801136,-10.875740653638138,LEFT,DOWN,DOWN_LEFT,16.9408,-7.5351,0.79365
001_04,HP_001,4,001_04.png,001_04.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,-11.0,-5.5,0.0,1417.2959,618.617065,815.092041,617.180664,1420.72034,620.8718,824.184937,620.193,1340,562,1569,696,727,559,982,701,0.013022123142704822,-0.061848589219768435,-0.998000589338694,0.7475650468801137,-3.54592626067446,LEFT,DOWN,DOWN_LEFT,16.9408,-7.5351,0.79365
001_05,HP_001,5,001_05.png,001_05.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,0.0,-5.5,0.0,1454.2124,619.285645,855.3156,617.948853,1451.62451,621.428,857.8392,620.8335,1341,562,1569,696,727,561,982,701,0.26324878167008703,-0.05967212434314371,-0.9628807384747039,15.29083284344967,-3.420993155437003,CENTER,DOWN,DOWN_CENTER,16.9408,-7.5351,0.79365
001_06,HP_001,6,001_06.png,001_06.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,-5.5,0.0,1485.93616,621.527954,889.074,620.229858,1478.21912,623.297852,886.0998,622.7339,1341,564,1569,696,727,563,983,702,0.4701694517854016,-0.0545907194953238,-0.8808862241815328,28.09088941500851,-3.1293734740995505,RIGHT,DOWN,DOWN_RIGHT,16.9408,-7.5351,0.79365
001_07,HP_001,7,001_07.png,001_07.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,0.0,0.0,1485.51428,637.4264,888.732361,637.030762,1477.869,636.6207,885.814941,636.8031,1341,578,1569,702,728,575,983,706,0.470021597559255,0.06005925314845483,-0.8806092118182138,28.090889415008508,3.4432138563828585,RIGHT,CENTER,CENTER_RIGHT,16.9408,-7.5351,0.79365
001_08,HP_001,8,001_08.png,001_08.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,0.0,0.0,0.0,1454.208,637.2782,855.308167,637.1129,1451.62219,636.493042,857.8317,636.871,1341,577,1569,702,728,574,982,706,0.26314987828411385,0.06564565800070145,-0.9625189811867144,15.29083284344967,3.7639258019957227,CENTER,CENTER,CENTER_CENTER,16.9408,-7.5351,0.79365
001_09,HP_001,9,001_09.png,001_09.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,-11.0,0.0,0.0,1417.88953,637.1019,815.650635,637.2118,1421.21545,636.34436,824.647766,636.953735,1341,576,1569,701,728,575,982,707,0.013016867509975417,0.06803810160846219,-0.9975978036712713,0.7475650468801137,3.901310005398809,LEFT,CENTER,CENTER_LEFT,16.9408,-7.5351,0.79365
001_10,HP_001,10,001_10.png,001_10.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,-11.0,5.5,0.0,1419.35925,654.5437,817.3051,656.1344,1422.44128,650.9503,826.020264,652.792847,1341,596,1569,707,728,596,982,715,0.012797756917999259,0.19456861850880228,-0.9808054190864995,0.7475650468801137,11.219524594270785,LEFT,UP,UP_LEFT,16.9408,-7.5351,0.79365
